Date, Close/Last, Volume, Open, High, Low
11/18/2019, 3121.8, 24, 3125.1, 3127.2, 3122.8
11/15/2019, 3118.3, 9, 3097.8, 3110.6, 3097.8
11/14/2019, 3096.9, 5, 3098, 3098, 3089.9
11/13/2019, 3095.6, 7, 3087.5, 3087.5, 3077.4
11/12/2019, 3091.9, 7, 3092, 3092.4, 3087.9
11/11/2019, 3087.4, 8, 3091.4, 3091.4, 3078.5
11/08/2019, 3090.6, 28, 3089.9, 3089.9, 3078.5
11/07/2019, 3085.9, 38, 3076.5, 3090.3, 3072
11/06/2019, 3075.6, 11, 3070.7, 3074.3, 3070.7
11/05/2019, 3071.9, 13, 3078.9, 3084.3, 3078.9
11/04/2019, 3075.7, 40, 3072.1, 3079, 3072.1
11/01/2019, 3063.2, 30, 3042.5, 3063.1, 3038.8
10/31/2019, 3035.8, 32, 3049.2, 3049.2, 3039
10/30/2019, 3047.8, 4, 3034.3, 3052.5, 3032.5
10/29/2019, 3035.7, 13, 3037.2, 3041.2, 3031
10/28/2019, 3036.3, 8, 3023.8, 3038.9, 3023.8
10/25/2019, 3020.3, 10, 3004.9, 3008.8, 3004.9
10/24/2019, 3004.2, 42, 3012, 3012.9, 3008.5
10/23/2019, 3005.7, 7, 2985, 2993.4, 2985
10/22/2019, 2994.5, 6, 3008.7, 3008.7, 3002.3
10/21/2019, 3006.5, 23, 2985, 3000.5, 2985
10/18/2019, 2988.2, 36, 2996.5, 2998.1, 2991
10/17/2019, 2997.9, 73, 2992.9, 3004.8, 2992.9
10/16/2019, 2991.4, 50, 2996.2, 2996.2, 2985
10/15/2019, 2997.7, 33, 2969.8, 2996.5, 2969.8
10/14/2019, 2965.5, 56, 2975.3, 2982, 2956.4
10/11/2019, 2970.8, 51, 2948, 2973.1, 2945.4
10/10/2019, 2941.1, 180, 2914.7, 2953.7, 2883.9
10/09/2019, 2918.9, 88, 2893.5, 2927, 2891.4
10/08/2019, 2892.6, 62, 2946.2, 2946.2, 2912.6
10/07/2019, 2937.5, 46, 2929, 2943.6, 2929
10/04/2019, 2951, 99, 2907.7, 2920, 2900.2
10/03/2019, 2911.8, 25, 2888, 2894, 2879.8
10/02/2019, 2880.6, 64, 2942, 2946, 2918.5
